"Session Tuesday 29 September 2026 - 09:00-11:00 - Area 2 - Oral 5 - Voice Quality Aspects of Speech","Paper ID ","Time ","Paper Title ","Presenting Author ","Abstract ","Authors ","CN tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Tuesday 29 September 2026 - 09:00-11:00 - Area 6 - Oral 2 - Language-Model and Codec-Token Speech
Enhancement","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","192","09:00-09:20","UniSE: A Unified Framework for Decoder-Only Autoregressive LM-Based Speech Enhancement","Chengwei Liu","Neural audio codecs have largely promoted the application of language models (LMs) for speech applications. However, the effectiveness of autoregressive LM-based models in unifying speech enhancement (SE) tasks remains underexplored. In this work, we propose UniSE, a unified decoder-only LM-based framework to handle different SE tasks including speech restoration, target speaker extraction, and speech separation. Conditioned on input speech features, it autoregressively generates target discrete tokens, facilitating compatibility between distinct learning patterns of multiple tasks. To further optimize speech quality, we introduce a progressive reinforcement learning strategy with multiple assessment criteria. Experiments on several benchmarks show that UniSE achieves competitive performance compared to discriminative and generative baselines, demonstrating the capacity of LMs in unifying SE tasks. The code and demo is available at: https://github.com/alibaba/unified-audio/tree/main/QuarkAudio-UniSE.","Haoyin Yan(Alibaba); Chengwei Liu(Alibaba); Shaofei Xue(Alibaba); Xiaotao Liang(Alibaba); Yinghao Liu(Alibaba); Yuxiang Kong(Alibaba); Zheng Xue(Alibaba)","","","","","","","","","","","","","","","","","","",""
"Oral","232","09:20-09:40","DelayGSE: A Generative Speech Enhancement Framework with Delayed Text-Aware Conditioning","Xin Yuan","Recent generative speech enhancement methods based on language and diffusion models achieve strong perceptual quality but are more susceptible than discriminative approaches to speech-like hallucinations under low SNRs and transient noise. We propose DelayGSE, a text-aware generative speech enhancement framework built on a multi-codebook language model for denoising, dereverberation, and audio super-resolution. DelayGSE conditions on noisy-speech STFT features and Whisper encoder representations, and models multiple discrete codebooks in a delayed manner to stabilize generation. A text-aware mechanism suppresses hallucinations, while an importance-aware codebook weighting strategy balances perceptual fidelity and semantic consistency. Experiments demonstrate state-of-the-art performance, with ablations showing effective hallucination suppression and a 15.8% relative word error rate reduction. Audio samples are available at https://delaygse.github.io/.","Xin Yuan(Guangzhou Shiyuan Electronic Technology); Junling Lv(Guangzhou Shiyuan Electronic Technology); Zezhou Xu(SUFE); Xingjun Tan(Guangzhou Shiyuan Electronic Technology); Liangliang Li(Guangzhou Shiyuan Electronic Technology); Yanqiang Lei(Guangzhou Shiyuan Electronic Technology)","","","","","","","","","","","","","","","","","","",""
"Oral","837","09:40-10:00","StuPASE: Towards Low-Hallucination Studio-Quality Generative Speech Enhancement","Xiaobin Rong","Achieving high perceptual quality without hallucination remains a challenge in generative speech enhancement (SE). A representative approach, PASE, is robust to hallucination but has limited perceptual quality under adverse conditions. We propose StuPASE, built upon PASE to achieve studio-level quality while retaining its low-hallucination property. First, we show that finetuning PASE with dry targets rather than targets containing simulated early reflections substantially improves dereverberation. Second, to address performance limitations under strong additive noise, we replace the GAN-based generative module in PASE with a flow-matching module, enabling studio-quality generation even under highly challenging conditions. Experiments demonstrate that StuPASE consistently produces perceptually high-quality speech while maintaining low hallucination, outperforming state-of-the-art SE methods. Audio demos are available at: https://xiaobin-rong.github.io/stupase_demo/.","Xiaobin Rong(Nanjing University; Cisco Systems, Inc.); Jun Gao(Nanjing University); Zheng Wang(Nanjing University; Horizon Robotics); Mansur Yesilbursa(Cisco Systems, Inc.); Kamil Wojcicki(Cisco Systems, Inc.); Jing Lu(Nanjing University; Horizon Robotics)","","","","","","","","","","","","","","","","","","",""
"Oral","1833","10:00-10:20","Improving DF-Conformer using Hydra for high-fidelity generative speech enhancement on discrete codec token","Shogo Seki","The Dilated FAVOR Conformer (DF-Conformer) is an efficient variant of the Conformer architecture designed for speech enhancement (SE). It employs fast attention through positive orthogonal random features (FAVOR+) to mitigate the quadratic complexity associated with self-attention, while utilizing dilated convolution to expand the receptive field. This combination results in impressive performance across various SE models. In this paper, we propose replacing FAVOR+ with bidirectional selective structured state-space sequence models to achieve two main objectives: (1) enhancing global sequential modeling by eliminating the approximations inherent in FAVOR+, and (2) maintaining linear complexity relative to the sequence length. Specifically, we utilize Hydra, a bidirectional extension of Mamba, framed within the structured matrix mixer framework. Experiments conducted using a generative SE model on discrete codec tokens, known as Genhancer, demonstrate that the proposed method surpasses the performance of the DF-Conformer.","Shogo Seki(CyberAgent, Inc.); Shaoxiang Dang(CyberAgent, Inc.); Li Li(CyberAgent, Inc.)","","","","","","","","","","","","","","","","","","",""
"Oral","2564","10:20-10:40","Towards Robust Generative Speech Enhancement Using Vector Quantisation-Based Neural Audio Codec","Haixin Zhao","This work investigates modelling strategies in continuous and discrete latent spaces in the vector quantisation (VQ)-based neural audio codec (NAC) speech enhancement (SE), along with the role of VQ regularisation. We propose cNAC-SE and dNAC-SE frameworks that predict continuous representations and discrete tokens in latent space, respectively. Theoretical analysis and visualisations in latent space are performed to exhibit their inherent modelling mechanisms. Experimental results show that the fully fine-tuned cNAC-SE model consistently outperforms all dNAC-SE variants across diverse test conditions and achieves leading performance among established generative approaches in DNS-MOS metrics. Comparison with the discriminative counterpart shows that VQ enhances robustness through an intrinsic effect of clean-prior-constrained regularisation, independent of discrete token processing. This highlights the transferable value of VQ regularisation to other continuous modelling methods.","Haixin Zhao(Ghent University - imec); Nilesh Madhu(Ghent University - imec)","","","","","","","","","","","","","","","","","","",""
"Oral","3405","10:40-11:00","Post-Training Speech Enhancement Language Models with Perceptual Rewards","Antonis Asonitis","Speech enhancement language models achieve strong results when trained on discrete audio tokens, but their optimization relies on token-level cross-entropy rather than the perceptual metrics used for evaluation. We introduce a post-training stage for autoregressive speech enhancement language models using Group Sequence Policy Optimization (GSPO) with multi-metric perceptual rewards. Our method directly optimizes non-differentiable quality metrics (DNSMOS, WER, and UTMOS) as reward signals, without learned surrogates or offline preference pairs. Applied to two autoregressive base models, UniSE and GenSE, our approach achieves state-of-the-art results on the DNS2020 benchmark. A human evaluation ablation further shows that the composite multi-metric reward is preferred over any single-metric variant, confirming that multi-reward optimization avoids the reward hacking observed with single-metric training.","Frédéric Berdoȥ(ETH Zürich); Luca A. Lanzendöerfer(ETH Zürich); Antonis Asonitis(ETH Zürich); Roger Wattenhofer(ETH Zürich)","","","","","","","","","","","","","","","","","","",""
"Tuesday 29 September 2026 - 09:00-11:00 - Area 7 - Oral 8 - Controllable and Expressive Speech Synthesis","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","803","09:00-09:20","Learnable Classifier-Free Guidance Null Embeddings for Enhanced Controllable Speech Synthesis","Biel Tura-Vecino","Classifier-free Guidance (CFG) is widely adopted in text-to-speech (TTS) systems to enhance generation quality and conditioning fidelity by interpolating between conditioned and unconditioned predictions. A common unconditional technique is to use an empty representation, in the form of a fixed null vector. In this work, we propose replacing this representation with a learnable unconditional embedding, optimized to represent a meaningful unconditional state. Objective and subjective evaluations demonstrate that learnable null embeddings consistently outperform fixed null embeddings across speaker similarity, speech stability, and expressiveness, while exhibiting greater robustness to larger guidance scales. We further show that learning a distinct unconditional embedding for each of the TTS conditioning modalities allows fine-grained control over speaker and text guidance, showcasing the trade-off between similarity and quality, and stability and expressiveness in the generated speech.","Biel Tura-Vecino(Cantina Labs); Yoach Lacombe(Cantina Labs); Julian Weber(Cantina Labs); Zbigniew Latka(Cantina Labs); Haitong Zhang(Cantina Labs); Logan Hart(Cantina Labs); Eren Golge(Cantina Labs)","","","","","","","","","","","","","","","","","","",""
"Oral","1159","09:20-09:40","Synthesizing the Lombard Effect: Multi-Level Control of Speech Clarity and Vocal Effort in TTS","Seymanur Akti","Humans tend to speak louder and clearer in challenging environments, such as noisy conditions or when addressing hearing-impaired listeners, which is called Lombard effect. To simulate this behavior in speech synthesis systems, we introduce a flow-matching based text-to-speech (TTS) model trained with vocal effort and articulation pseudo-labels. The proposed model achieves continuous and disentangled control of vocal effort and articulation, while also enabling word-level emphasis for clarifying specific segments of an utterance. Experimental results show that these control mechanisms effectively improve clarity-related acoustic features. Furthermore, speech-in-noise experiments demonstrate that our model successfully simulates the intelligibility gains of human clear speech in noisy conditions.","Seymanur Akti(KIT; KCT); Alexander Waibel(KIT; CMU)","","","","","","","","","","","","","","","","","","",""
