"Session Monday 28 September 2026 - 09:30 - 10:30 - Keynote speaker - Prof John H. L. Hansen Keynote Monday 28 September 2026 - 11:00-13:00 - Area 1 - Oral 1 - Model of Speech Perception","Paper ID ","Time 09:30 - 10:30  ","Paper Title Balancing Speech, Language and Hearing Science with Machine Learning Modeling in the Age of AI: “Know your Problem, Data, and Solution ","Presenting Author ","Abstract ","Authors ","CN tbhead2 bg-c1 tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Challenge","1313","11:00-13:00","EChO-Agent: Evidence Chain Orchestration Agent for Audio Reasoning","Siyuan Zhang","While LALMs show promise on audio question answering, they fail to focus on question-relevant segments of audio and provide a clear, checkable reasoning process when dealing with complex audio reasoning. Reinforcement learning and tool-augmented prompting can help models better relate questions to audio but lack a reliable way to understand, integrate, and self-verify audio segments. To address this gap, we present EChO-Agent, a modular agent framework that reformulates complex audio QA as a planning, tool execution, evidence integration, and answer verification workflow. Experiments on MMAR benchmark show EChO-Agent improves both accuracy and rubric scores over baseline and ablation studies show evidence integration is the key factor.","Siyuan Zhang(Tianjin University); Jian Zong(Tianjin University); Junyu Wang(Tianjin University); Peiyuan Jiang(Tianjin University); Jiahao Yan(Tianjin University); Jingyu Zhang(Tianjin University); Tianrui Wang(Tianjin University); Xiaobao Wang(Tianjin University); Longbiao Wang(Tianjin University); Jianwu Dang(Shenzhen Institute of Advanced Technology)","","","","","","","","","","","","","","","","","","",""
"Challenge","1212","11:00-13:00","MATA: A Training-Free Approach to Mitigate Cross-Modal Attention Imbalance in Large Audio Language Models","Junyu Wang","Large Audio Language Models (LALMs) often suffer from audio-textual attention imbalance, prioritizing text over acoustic information during multi-modal fusion. This bias limits the utilization of acoustic cues and degrades audio reasoning performance. To mitigate this, we propose MATA, a novel training-free method that dynamically pushes LALMs to pay More Attention To Audio tokens within the self-attention mechanism. Specifically, MATA intervenes after raw attention scoring, targeting only the last token in intermediate layers without adding parameters or computational overhead. Experiments on MMAU and MMAR benchmarks confirm consistent performance gains. Furthermore, integrating MATA with the Qwen3-Omni-Thinking model secured second place in the Single Model Track of the Interspeech 2026 Audio Reasoning Challenge. As the only training-free approach among top solutions, MATA offers a highly efficient strategy to mitigate attention bias and advance LALM reasoning.","Junyu Wang(Tianjin University); Jian Zong(Tianjin University); Tianrui Wang(Tianjin University); Zhengding Luo(Nanyang Technological University); Meng Ge(Tianjin University); Xiaobao Wang(Tianjin University); Longbiao Wang(Tianjin University; Nanyang Technological University); Jianwu Dang(Chinese Academy of Sciences)","","","","","","","","","","","","","","","","","","",""
"Monday 28 September 2026 - LUNCH BREAK","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Satellite Events","","13:00 -14:30","The 5th ISCA-PECRAC Connecting Early Career Researchers and Social Gathering","","","","","","","","","","","","","","","","","","","","","",""
"Monday 28 September 2026 - 14:30-16:30 - Area 2 - Oral 1 - Tones","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","361","14:30-14:50","Beyond Pitch: Multidimensional Cue Reweighting of Two High-Falling Tones in Pingdingshan Mandarin","Zhuo Chen","Tonogenesis typically describes the process by which consonant voicing develops into phonation and subsequently evolves into pitch distinctions. The opposite process, where degraded pitch allows other cues to be enhanced, is less documented. This study investigates the cue reweighting of two high-falling tones in Pingdingshan Mandarin. We analyzed speech and EGG data from 32 speakers of different ages, focusing on multiple cues including pitch, phonation, duration, and energy. Mixed-effects modeling and random forest analyses indicate that older speakers primarily distinguish these tones through pitch. For younger speakers, as pitch differences narrow, the relative weights of phonation (creaky voice) as well as duration have significantly increased. It shows a reweighting process from a pitch-dominant to a multidimensional cue system in a Mandarin variety, reflecting dynamic competition among multiple cues in tonal evolution.","Zhuo Chen(Peking University); Bingliang Zhao(Peking University); Xiyu Wu(Peking University)","","","","","","","","","","","","","","","","","","",""
"Oral","1215","14:50-15:10","Tonal Contrasts in Different Vowel Contexts and Different Tonal Systems","Mingxing Li","This study explores the acoustic properties of contrastive tones at different heights in different vowel contexts and in different tonal systems. Contrastive tones were recorded from two Chinese Xiang dialects that distinguish tones at three and four heights respectively. The tones contrast in three vowel contexts, including apical [ɹ̩], high-front [i], and low-back [a]. The measurements included F0 trajectories, mean F0, duration, intensity, as well as voice qualities such as H1*-H2*, HNR, CPP. The main findings are: (i) high tones generally showed shorter duration, higher intensity, and more periodicity than low tones; (ii) for vowel contexts, different tones had a wider F0 range in [i] than in [ɹ̩] and [a]; (iii) for different tonal systems, the results of XGBoost+SHAP analyses confirmed the high importance of F0 cues in distinguishing the tones and a tendency for a tonal system with more height distinctions to rely on more cues in differentiating its tones.","Mingxing Li(Hong Kong Baptist University); Pauline Bolin Liu(Hong Kong Baptist University); Yufeng Chen(Shandong University)","","","","","","","","","","","","","","","","","","",""
"Oral","1274","15:10-15:30","Tone-space Distribution Modulates Transfer from Non-linguistic Pitch Training to Cantonese Tone-in-Noise Perception in Native Speakers","Yi Weng","Despite superior pitch processing in tonal-language speakers, tone perception remains vulnerable in noise. Whether non-linguistic pitch training can sharpen the psychophysical acuity underlying established tonal categories remains unexplored. 29 native Cantonese adults completed 8 perceptual discrimination training sessions over 14 days, using pure tones between 126–217 Hz. Near transfer was assessed via oddity tasks; far transfer via word identification in clean, 0 dB and −5 dB SNRs multi-talker babble noise, including a novel-speaker test. Results showed: (1) discrimination thresholds decreased for level and contour stimuli; (2) word identification improved more markedly in noise, with benefits on T1, T3 and T4 generalising to a novel speaker, while T2, T5 and T6 exhibited limited measurable gains. These findings support a condition-dependent vertical transfer model and suggest that tones in crowded tone space require targeted training beyond domain-general pitch training.","Yi Weng(The Hong Kong Polytechnic University); Junjie Zhang(The Hong Kong Polytechnic University); Yanyuan Ye(The Hong Kong Polytechnic University); Gang Peng(The Hong Kong Polytechnic University)","","","","","","","","","","","","","","","","","","",""
"Oral","1602","15:30-15:50","Categorical Perception of Mandarin Tones in Jingpo Native Speakers","Binghao Wang","Against the background of promoting Mandarin around China, the tonal differences between Jingpo and Mandarin may affect Jingpo speakers' perception of Mandarin tones. This study examined the categorical perception (CP) of Mandarin tones by 27 native Jingpo speakers and 23 native Mandarin speakers using 12 synthesized tone continua based on the 4 Mandarin tones. Participants were asked to complete identification and discrimination tasks. Results show that while Jingpo participants could distinguish the phonemic categories of most tone pairs in Mandarin, they did not exhibit CP between Tone 35 and Tone 214, probably due to a lack of falling-rising tones in Jingpo. Besides, Jingpo participants' CP degree for several tone pairs was significantly lower than that of Mandarin participants. These findings not only validate the interpretability of the Perceptual Assimilation Model but also contribute to the understanding of cross-linguistic influence in tone perception.","Binghao Wang(Peking University); Xinyuan Li(Peking University); Yao Lu(Peking University)","","","","","","","","","","","","","","","","","","",""
"Oral","2138","15:50-16:10","Acoustic Differences Between Citation and Sandhi Tones Across Three Generations in Xiamen Southern Min","Peggy Pik Ki Mok","This study examines whether citation tones and their corresponding sandhi forms are acoustically equivalent in Xiamen Southern Min and how their realizations vary across generations. F0 contours of speech data from 49 native speakers in three age groups (teenagers, middle-aged, and seniors) were extracted and analysed to compare tonal shapes and overall pitch height across tone categories, syllable positions, and age groups. Results show that sandhi tones differ from their citation counterparts in both F0 height and the slope, even when traditionally transcribed with the same tone value, indicating subphonemic contrasts obscured by the “tone sandhi circle”. Teenagers show a compressed citation tonal space but enhance sandhi contrasts, especially /44/ &gt; [22a] vs. /24/ &gt; [22b]; seniors largely neutralize this distinction, with middle-aged speakers intermediate. The findings indicate stable phonetic divergence and an age-graded change of the sandhi system.","Huangyang Xie(The Chinese University of Hong Kong); Xiuwei Zeng(Hong Kong Metropolitan University); Weijun Zhang(The Chinese University of Hong Kong); Peggy Pik Ki Mok(The Chinese University of Hong Kong)","","","","","","","","","","","","","","","","","","",""
"Oral","2409","16:10-16:30","Perceptual compensation for tonal context in self-supervised speech models","James Kirby","This study examines the extent to which the wav2vec2.0 architecture exhibits evidence of compensation for phonological context. We conducted a pseudo-replication of a perceptional compensation experiment on Mandarin Chinese tones, and compared the embedding similarities and probing classifier outputs between a purely self-supervised pre-trained model and a model fine-tuned for Mandarin ASR. No evidence of compensation was found in the embedding similarities of the purely pre-trained model. Probing classifiers showed some evidence of compensation in addition to the expected layer-wise improvements in categorization, but failed to replicate human performance on isolated test syllables. Our findings contrast with previous reports of sensitivity to phonological structure emerging through pre-training alone, and suggest that supervised objectives may be necessary to encourage the abstraction of at least some types of phonological regularities.","James Kirby(LMU Munich); Ioana Krehan(LMU Munich); Michele Gubian(LMU Munich)","","","","","","","","","","","","","","","","","","",""
"Monday 28 September 2026 - 14:30-16:30 - Area 3 - Oral 1 - Speech Emotion Recognition and
Representation 1","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Survey Talk","","14:30-15:10","Generalizable Speech Emotion Recognition: Strategies and Trends","Chi-Chun Lee","Speech emotion recognition (SER) has traditionally been formulated as a discriminative learning problem over predefined emotion categories and has progressed tremendously under this paradigm. However, real-world emotion understanding requires models to generalize beyond the languages, emotion labels, speakers, and domains encountered during training. This talk surveys the evolving landscape of generalizable SER, highlighting strategies for cross-lingual and cross-domain transfer, adaptation to different emotion representations and taxonomies, and learning from increasingly diverse speech data. We then examine how recent advances in foundation models and speech large language models (Speech LLMs) are beginning to reshape the SER paradigm. These models offer new possibilities for reasoning about emotion beyond fixed label spaces. We conclude by discussing the emerging transition from task-specific SER toward flexible, multilingual, and potentially zero-shot, open-ended speech emotion understanding.","","","","","","","","","","","","","","","","","","","",""
"Oral","1587","15:10-15:30","Progressive Weak Supervision for Speech Emotion Recognition","Bao Thang Ta","Speech emotion recognition (SER) faces challenges due to label ambiguity and high model uncertainty during early training. Standard training with hard one-hot targets ignores these issues, forcing models to commit to a single class before learning meaningful representations. We propose Progressive Weak Supervision (PWS), a strategy that relaxes supervision in the early stages and gradually tightens it as the model matures. During the initial epochs, a sample is considered correctly predicted if the true label is among the top-k predictions, with a soft probability distribution assigned across them. As training progresses, k decays linearly to 1, thereby recovering standard supervision. We evaluate PWS using a WavLM-Base encoder on IEMOCAP (English, 4-class) and ViSEC (Vietnamese, 4-class). With k=3, PWS achieves 78.08% unweighted accuracy on IEMOCAP and 85.70% on ViSEC, surpassing several strong baseline methods. Code is available at https://github.com/skyemo47/PWS.","Bao Thang Ta(Viettel AI; Hanoi University of Science and Technology); Huynh Thi Thanh Binh(Hanoi University of Science and Technology); Van Hai Do(Viettel AI; Thuyloi University)","","","","","","","","","","","","","","","","","","",""
"Oral","951","15:30-15:50","MSMC: Multi-Scale Masked Convolution network for Robust Speech Emotion Recognition","Haoyu Song","Speech Emotion Recognition (SER) benefits from large Self-Supervised Learning (SSL) models (e.g., HuBERT, WavLM), but their immense computational overhead hinders real-time edge deployment. While mel-spectrograms offer a lightweight alternative, traditional CNNs struggle to match SSL representation quality. To bridge the gap between the two approaches, we propose MSMC (Multi-Scale Masked Convolution), a highly efficient architecture for spectrogram-based SER. A masked convolution encoder (MCE) extracts sparse spectral features without information leakage, while a mean teacher framework enforces multi-scale consistency, to effectively distil global semantic context and micro-prosodic details into a compact model. Evaluated on the IEMOCAP dataset, MSMC achieves state-of-the-art accuracy among lightweight models (76.0% WA), matching the performance of heavy SSL baselines. With a significantly lower parameter count and computational complexity, MSMC is suitable for real-time SER applications.","Haoyu Song(Singapore Institute of Technology); Ian McLoughlin(Singapore Institute of Technology); Xiaoxiao Miao(Duke Kunshan University); Aik Beng Ng(NVIDIA AI Technology Centre); Simon See(NVIDIA AI Technology Centre); Timothy Liu(NVIDIA AI Technology Centre)","","","","","","","","","","","","","","","","","","",""
"Oral","1210","15:50-16:10","Geometric Second-Order Feature Correlation Learning for Self-Supervised Speech Emotion Recognition","Shuanglin Li","Self-supervised learning (SSL) yields powerful, context-rich representations for speech emotion recognition (SER), yet the aggregation of these representations into holistic descriptors remains a bottleneck. Conventional first-order aggregation implicitly assumes feature independence, violating the latent Riemannian geometry and discarding higher-order relationships essential to the backbone's representational power. To address this problem, this paper proposes a novel Second-Order Correlation (SOC) layer. Instead of treating features in isolation, our SOC models correlations among features as covariance descriptors to capture synergistic co-occurrence patterns, which act as discriminative signatures for robust emotion recognition. By mapping these descriptors from the Riemannian manifold to a Euclidean tangent space through Log-Euclidean mapping (LEM), our method preserves geometric integrity while enabling direct linear discriminative learning. Extensive experiments on ESD and RAVDESS datasets demonstrate that SOC recovers discriminative information lost in first-order pooling, effectively aggregating high-dimensional SSL features.","Shuanglin Li(Xiangjiang Laboratory); Ruxiao Qian(Xiangjiang Laboratory); Siyang Song(University of Exeter)","","","","","","","","","","","","","","","","","","",""
"Oral","2134","16:10-16:30","ACR-Net: Mitigating Semantic Dominance via Contrastive Acoustic-Semantic Decoupling","Mengke Zhang","Speech Emotion Recognition (SER) models and Audio LLMs fail when vocal tone contradicts textual semantics. Extensive training on congruent data engenders a rigid semantic prior, causing &quot;Semantic Dominance&quot;, a severe text bias during cross-modal conflicts. We introduce the ASPIRE benchmark of adversarial audio-text pairs across four conflict types, alongside two metrics: Semantic Overconfidence Penalty (SOP) and Latent Decoupling Degree (LDD). Unlike fusion methods that merely re-weight collapsed features, our Acoustic Conflict Resolution Network (ACR-Net) uses Cross-Modal Attention and Contrastive Decoupling Loss to disentangle contradictory representations into orthogonal latent spaces. Experiments show existing models fail under polarity conflicts due to extreme semantic overconfidence. Conversely, ACR-Net preserves acoustic fidelity, maintaining high LDD to drive SOP near zero, achieving superior Acoustic Accuracy (ACC) in both adversarial and standard scenarios.","Mengke Zhang(Beijing University of Posts and Telecommunications); Yanda Shao(Beijing University of Posts and Telecommunications); Tianhe Wu(Beijing University of Posts and Telecommunications); Kai Feng(Beijing University of Posts and Telecommunications)","","","","","","","","","","","","","","","","","","",""
"Monday 28 September 2026 - 14:30-16:30 - Area 4 - Oral 2 - Speech Deepfake Detection: Robustness, Generalization, Attribution","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","158","14:30-14:50","Diffusion Reconstruction towards Generalizable Audio Deepfake Detection","Bo Cheng","Achieving robust generalization against unseen attacks remains a challenge in Audio Deepfake Detection (ADD), driven by the rapid evolution of generative models. To address this, we propose a framework centered on hard sample classification. The core idea is that a model capable of distinguishing challenging hard samples is inherently equipped to handle simpler cases effectively. We investigate multiple reconstruction paradigms, identifying the diffusion-based method as optimal for generating hard samples. Furthermore, we leverage multi-layer feature aggregation and introduce a Regularization-Assisted Contrastive Learning (RACL) objective to enhance generalizability. Experiments demonstrate the superior generalization of our approach, with our best model achieving a significant reduction in the average Equal Error Rate (EER) compared to the baseline.","Bo Cheng(Southern University of Science and Technology); Songjun Cao(Tencent Youtu Lab); Xiaoming Zhang(Tencent Youtu Lab); Jie Chen(Tencent Youtu Lab); Long Ma(Tencent Youtu Lab); Fei Chen(Southern University of Science and Technology)","","","","","","","","","","","","","","","","","","",""
"Oral","2167","14:50-15:10","Hard Positive-targeted Training for Robust Audio Deepfake Detection under Neural Codec Processing","Jiwon Seo","Neural audio codecs are increasingly used in speech pipelines, enabling high-quality compression at low bitrates. However, neural codec (NC) processing may impair audio deepfake detection (ADD) by distorting discriminative cues and introducing artifacts that may obscure spoofing traces. Our embedding analysis indicates that the robustness drop is driven mainly by bonafide-side errors: NC-processed bonafide speech shifts toward the spoof region more than NC-processed spoof shifts toward bonafide. To mitigate this effect, we propose a training strategy that (i) introduces an auxiliary loss to regularize frequently misclassified NC-processed bonafide samples and (ii) uses a mini-batch construction scheme that repeatedly presents boundary-adjacent NC-processed bonafide-spoof pairs during optimization. Experiments using equal error rate (EER) and accuracy demonstrate improved robustness under NC conditions while maintaining spoof detection performance.","Jiwon Seo(Soongsil University); Inho Kim(Soongsil University); Seongkyu Han(Soongsil University); Thein-Phuc Doan(Soongsil University); Souhwan Jung(Soongsil University)","","","","","","","","","","","","","","","","","","",""
"Oral","628","15:10-15:30","Deepfake Word Detection by Next-token Prediction using Fine-tuned Whisper","Xin Wang","Deepfake speech utterances can be forged by replacing one or more words in a bona fide utterance with semantically different words synthesized with speech-generative models. While a dedicated synthetic word detector could be developed, we developed a cost-effective method that fine-tunes a pre-trained Whisper model to detect synthetic words while transcribing the input utterance via next-token prediction. We further investigate using partially vocoded utterances as the fine-tuning data, thus reducing the cost of data collection. Our experiments demonstrate that, on in-domain test data, the fine-tuned Whisper yields low synthetic-word detection error rates and transcription error rates. On out-of-domain test data with synthetic words produced with unseen speech-generative models, the fine-tuned Whisper remains on par with a dedicated ResNet-based detection model; however, the overall performance degradation calls for strategies to improve its generalization capability.","Hoan My Tran(Université de Rennes); Xin Wang(National Institute of Informatics); Wanying Ge(National Institute of Informatics); Xuechen Liu(National Institute of Informatics); Junichi Yamagishi(National Institute of Informatics)","","","","","","","","","","","","","","","","","","",""
"Oral","3008","15:30-15:50","Dual-Branch Gated Fusion for Open-Set Audio Deepfake Source Tracing","Khalid Malik","Attributing a synthetic utterance to its originating system remains an open challenge: closed-set models fail to reject unseen synthesizers and produce overconfident predictions. To address this, we propose a dual-branch gated fusion framework that pairs XLSR-53 with CORES, a 66-dimensional descriptor that, unlike prior Linear Filter Bank-only work, spans cepstral, oscillatory, rhythmic, energy, and spectral dimensions to capture complementary synthesis artifacts. Our analysis shows XLSR-53 remains discriminative in-domain (ID) while CORES generalizes stably under distribution shift (OOD), yet their naive concatenation fails due to SSL representational imbalance. To resolve this, an input-conditioned gate adaptively weights each branch under joint training with cross-entropy, an energy margin loss for ID/OOD separation, and a gate diversity term. On the MLAAD benchmark, our system achieves 97.6% ID accuracy, 4.9% EERc, and an 83.5% relative reduction in FPR95 over the 2025 baseline.","Awais Khan(University of Michigan; ProbeTruth Inc.); Kutub Uddin(University of Michigan); Khalid Malik(University of Michigan; ProbeTruth Inc.)","","","","","","","","","","","","","","","","","","",""
"Oral","661","15:50-16:10","Mixture of Spectral Experts for Audio Deepfake Detection","Zhe Li","Recent advances in neural speech synthesis have produced highly natural waveforms, making audio deepfake detection increasingly challenging as spoofing artifacts become less perceptible. Although pre-trained speech models provide robust representations, they may overlook low-level physical cues, particularly magnitude and phase information. To address this limitation, we propose a detection framework that combines a frequency audio encoder (FAE) with spectral parameter-efficient fine-tuning. The FAE explicitly models magnitude and phase cues, while the proposed Mixture of Spectral Experts (MoSE) efficiently adapts the pre-trained speech model to generation-dependent distribution shifts. By applying low-rank updates in the singular value decomposition (SVD) domain while keeping the singular bases frozen, MoSE facilitates task-specific adaptation to spoofing-related spectral artifacts. Evaluations on ASVspoof 2019 LA, ASVspoof 2021 LA/DF, and In-the-Wild benchmarks demonstrate the effectiveness of our approach and its strong generalization to unseen channel variations and real-world spoofing attacks.","Yaxuan Qiu(Xinjiang University); Zhe Li(University of Hong Kong); Mieradilijiang Maimaiti(Xinjiang University); Zunwang Ke(Xinjiang University); Wushour Silamu(Xinjiang University)","","","","","","","","","","","","","","","","","","",""
"Oral","836","16:10-16:30","Dual-Granularity Orthogonal Disentanglement for Generalizable Audio Deepfake Detection","Zhuodong Liu","Audio deepfake detectors often fail to generalize across speakers, as they learn speaker-identity features rather than synthesis artifacts, known as implicit identity leakage. Existing methods address this but incur architectural complexity or training instability. This paper proposes a dual-granularity orthogonal disentanglement framework enforcing feature independence at two levels: sample-level cosine orthogonality captures directional decorrelation, while batch-level cross-covariance regularization eliminates linear correlations across embedding dimensions. A curriculum disentanglement schedule progressively strengthens the orthogonality constraint without auxiliary networks or adversarial dynamics. Experiments on ASVspoof 2019 LA, ASVspoof 2021 DF, and In-the-Wild datasets demonstrate that the proposed method achieves 1.35%, 7.88%, and 21.58% equal error rates (EER), respectively, surpassing gradient reversal disentanglement by 2.60% absolute on cross-dataset transfer.","Zhuodong Liu(Beijing Jiaotong University); Hugen Lv(Beijing Jiaotong University); Xiangyu Li(Shanghai Jiao Tong University); Chunhong Yuan(ITMO University)","","","","","","","","","","","","","","","","","","",""
"Monday 28 September 2026 - 14:30-16:30 - Area 5 - Oral 6 - Audio segmentation","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","135","14:30-14:50","A Gated Multi-Task Whisper Framework for Speech, Emotion, and Scene Understanding","Manjiri Bhat","Assistive technology requires understanding complex audio which involves jointly modeling speech content, emotional cues, and environmental context. We propose a Gated Multi-Task model that performs automatic speech recognition, speech emotion recognition, and acoustic scene classification, often treated as independent tasks, within a unified framework. Built on the Whisper-small encoder, the model employs task-specific heads and a gating mechanism that classifies input audio as clean speech, noisy speech, or non-speech to conditionally activate downstream modules during inference. We introduce ESAS-32K, a simulated dataset combining emotional speech with acoustic scenes under varying signal-to-noise conditions. Experiments show that Whisper-based gated multi-task learning improves task-specific metrics compared to ungated and single-task baselines, and mitigates speech-to-text hallucinations, demonstrating the effectiveness of the proposed method for context-aware audio analysis.","Manjiri Bhat(Visvesvaraya National Institute of Technology Nagpur); Ravindra B. Keskar(Visvesvaraya National Institute of Technology Nagpur)","","","","","","","","","","","","","","","","","","",""
"Oral","258","14:50-15:10","ImKWS: Test-Time Adaptation for Keyword Spotting with Class Imbalance","Ting Dang","Keyword spotting (KWS) identifies words for voice assistants, but environmental noise frequently reduces accuracy. Standard adaptation fixes this issue and strictly requires original or labeled audio. Test-time adaptation (TTA) solves this data constraint using only unlabeled test audio. However, current methods fail to handle the severe imbalance between rare keywords and frequent background sounds. Consequently, standard entropy minimization becomes overconfident and heavily biased toward the frequent background class. To overcome this problem, we propose a TTA method named ImKWS. Our approach splits the entropy process into a reward branch and a penalty branch with separate update strengths. Furthermore, we enforce consistency across multiple audio transformations to ensure stable model updates. Experiments on the Google Speech Commands dataset indicate ImKWS achieves reliable adaptation in realistic imbalanced scenarios. The code is available on GitHub.","Hanyu Ding(Jiangsu University); Yang Xiao(The University of Melbourne); Jiaheng Dong(The University of Melbourne); Ting Dang(The University of Melbourne)","","","","","","","","","","","","","","","","","","",""
"Oral","1053","15:10-15:30","Next-Turn: Duration-Aware Streaming Endpoint Detection via Time-to-Next-Speech-Onset Prediction","Tao Zhong","Endpoint detection (EPD) is essential for natural turn-taking in streaming speech systems. However, reliably determining the endpoint of an utterance is challenging because speakers often pause mid-utterance due to hesitations and disfluencies. Semantic EPD has emerged as a promising direction to address this issue but is hindered by ambiguous supervision and strict streaming constraints. We propose Next-Turn which uses the time-to-next-speech-onset as the training objective, where targets are derived directly from speech timestamps and require no manual additional annotation. Experiments show that the proposed method outperforms conventional acoustic and recent semantic EPD baselines, achieving a 25.9% absolute improvement in endpoint accuracy within 320 ms over the strongest baseline. In addition, joint training with the duration-aware objective complements standard binary EPD, with gains that increase monotonically with increasing pauses.","Tristan Tsoi(Huawei); Jiajun Deng(Huawei); Yingke Zhu(Huawei); Huu Quyen Dang(The Chinese University of Hong Kong); Tianxiang Cao(Huawei); Nikita Kuzmin(Nanyang Technological University); Tao Zhong(Huawei; The Chinese University of Hong Kong); Simon Lui(Huawei)","","","","","","","","","","","","","","","","","","",""
"Oral","2523","15:30-15:50","VAD to the Bone: Ultra-Tiny Speech Activity Detection for Edge Deployment","Shanza Iftikhar","Voice activity detection (VAD) triggers downstream speech processing in always-on systems under strict memory, latency, and compute constraints. Recent compact models report strong accuracy but rely on components that are not widely supported: learnable filterbanks, recurrent layers, or non-causal post-processing. We propose kiloVAD, designed for embedded inference using standard Mel features, CNN-only layers, and tunable context/spectral parameters. We introduce per-layer structured pruning with self-distillation and angle-based quantization-aware training (QAT) that outperforms standard QAT by 1-4%. Evaluated per-frame under causal conditions, kiloVAD achieves 0.850 AUC on AVA-Speech with 2.1 k parameters and 200 ms context, establishing a new state of the art for causal, deployment-ready VAD.","Stephen Bauer(UCLA; Analog Devices, Inc.); Sheila Seidel(Analog Devices, Inc.); Shanza Iftikhar(Analog Devices, Inc.); Scott Veidenheimer(Analog Devices, Inc.); Gorkem Ulkar(Analog Devices, Inc.)","","","","","","","","","","","","","","","","","","",""
"Oral","3135","15:50-16:10","Speech Codec Probing from Semantic and Phonetic Perspectives","Xuan Shi","Speech tokenizers are essential for connecting speech to large language models (LLMs) in multimodal systems. Speech tokenizers are expected to preserve both semantic and acoustic information for downstream understanding and generation tasks. However, emerging evidence suggests that the term &quot;semantic&quot; in speech processing does not align with linguistic lexical-semantic, leading to a mismatch between speech and text modality. In this paper, we systematically analyze the information encoded by several widely used speech tokenizers, evaluating their lexical-semantic and phonetic content through three tasks. Our results show that current tokenizers primarily capture phonetic rather than lexical-semantic structure, deriving practical implications for the design of next-generation speech tokenization methods. Code is released to public at https://github.com/Alexuan/codec_probing_release.","Xuan Shi(University of Southern California); Chang Zeng(Independent Researcher); Tiantian Feng(University of Southern California); Shih-Heng Wang(University of Southern California); Jianbo Ma(Dolby Laboratories); Shrikanth Narayanan(University of Southern California)","","","","","","","","","","","","","","","","","","",""
"Oral","3300","16:10-16:30","Leveraging Mutual Intra-Modal Similarity Supervision for Text and Audio","Julian Miguel von Aspern","Contrastive inter-modal representation learning is powerful in zero-shot classification, text-queried audio retrieval, and audio-queried text retrieval. Recently, image-text contrastive learning has been proposed with soft labels generated from text-text similarities between all samples in a batch. As our first contribution, we use such intra-modal text-text similarities as inter-modal text-audio similarity targets. Second, we generalize this to also gain information from audio-audio similarities. Third, we propose a method to obtain similarity targets from these intra-modal similarities using uncertainty estimation. We further investigate additionally employing a modality classification branch and using MSE-guided estimation. Finally, in a specified training regime, we show that our methods are competitive with SOTA on a number of downstream tasks, while using only a fraction of training data and batch size. Our utilized training data and pre-trained models are publicly available.","Julian Miguel von Aspern(TU Braunschweig); Bruno Defraene(NXP Semiconductors); Anastasios Vafeiadis(NXP Semiconductors); Oleksiy Kutscher(TU Braunschweig); Ernst Seidel(TU Braunschweig); Tim Fingscheidt(TU Braunschweig)","","","","","","","","","","","","","","","","","","",""
"Monday 28 September 2026 - 14:30-16:30 - Area 6 - Oral 1 - Neural Speech Enhancement: Survey, Diffusion and Flow Matching","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Survey
Talk","","14:30-15:10","Monaural Speech Enhancement: From Shallow Networks to Speech Foundation Models","Sabato Marco Siniscalchi","This talk surveys single-channel neural speech enhancement, from its earliest shallow-learning approaches to today's speech foundation model era. We begin with the earliest attempts, which predate the deep learning era. We then move to the early mapping- and masking-based formulations in the time-frequency domain, where fully connected feed-forward neural networks first demonstrated the advantages of learned models over classical statistical estimators, and trace their architectural evolution. We next examine time-domain modeling, which bypasses explicit spectral representations entirely, before  turning to generative formulations that recast speech enhancement as distributional, sample-based generation of clean speech rather than deterministic regression/classification.  We conclude with the current frontier, where large, pre-trained speech models are repurposed for speech enhancement, and reflect on what this shift implies for evaluation, robustness, and the very notion of ""clean"" speech itself.""","","","","","","","","","","","","","","","","","","","",""
"Oral","659","15:10-15:30","Absorbing Discrete Diffusion for Speech Enhancement","Philippe Gonzalez","Inspired by recent developments in neural speech coding and diffusion-based language modeling, we tackle speech enhancement by modeling the conditional distribution of clean speech codes given noisy speech codes using absorbing discrete diffusion. The proposed approach, which we call ADDSE, leverages both the expressive latent space of neural audio codecs and the non-autoregressive sampling procedure of diffusion models. To efficiently model the hierarchical structure of residual vector quantization codes, we propose RQDiT, which combines techniques from RQ-Transformer and diffusion Transformers for non-autoregressive modeling. Results show competitive performance in terms of non-intrusive objective metrics on two datasets, especially at low signal-to-noise ratios and with few sampling steps. Code and audio examples are available online.","Philippe Gonzalez(Technical University of Denmark)","","","","","","","","","","","","","","","","","","",""
