"Session Thursday 1 October 2026 - 09:00-11:00 - Area 1 - Oral 4 - Modeling Articulation Survey Talk","Paper ID Surv-01-1","Time 09:00-09:40","Paper Title Bio-Informed Speech Processing, Modeling, and Generation","Presenting Author Yu Tsao","Abstract Conventional speech technologies rely primarily on acoustic signals, without explicitly accounting for the biological mechanisms underlying human speech production and perception. This survey examines bio-informed speech processing, modeling, and generation by integrating physiological signals with modern machine learning. We investigate how multimodal articulatory dynamics can enable robust motor-control representations and silent-speech interfaces. We further explore how neural markers and individualized hearing profiles can guide perceptual optimization, enhance speech quality, and maximize intelligibility. Grounding computational models in articulatory, muscular, and neuroauditory mechanisms establishes a transformative paradigm for next-generation assistive hearing devices, speech synthesis, and personalized communication systems across diverse speakers, communication environments, clinical needs, and application scenarios.","Authors ","CN tbhead2 bg-c2 ","","","","","","","","","","","","","","","","","",""
"Oral","1345","09:40-10:00","Eliminating Stability Hallucinations in LLM-based TTS models via Attention Guidance","Shiming Wang","This paper focuses on resolving stability hallucinations (e.g., repetitive or omitted speech) in LLM-based Text-to-Speech (TTS) models by improving and leveraging the attention mechanism. First, we analyzed the alignment mechanism between text tokens and speech tokens in LLMs. We then proposed a metric termed the Optimal Alignment Score (OAS), which employs the Viterbi algorithm to evaluate text-speech alignment quality. Subsequently, OAS was integrated into the training of CosyVoice2 to assist LLMs in learning continuous, stable alignment. Additionally, the pre-trained attention value is employed to guide the training of the student CosyVoice2 via chain-of-thought (CoT), which further reduces stability hallucinations in synthesized speech. Experiments on the Seed-TTS-Eval and CV3-Eval test sets demonstrate that the proposed methods can effectively reduce the stability hallucinations of CosyVoice2 without introducing additional negative effects. The appendix is available at https://wsmzzz.github.io/llm_attn/ index.html.","Shiming Wang(University of Science and Technology of China); Zhihao Du(Independent Researcher); Yang Xiang(Independent Researcher); Tianyu Zhao(Independent Researcher); Han Zhao(Independent Researcher); Qian Chen(Independent Researcher); Xiangang Li(Independent Researcher); Hanjie Guo(University of Science and Technology of China); ZhenHua Ling(University of Science and Technology of China)","","","","","","","","","","","","","","","","","","",""
"Oral","1031","10:00-10:20","MamTra: A Hybrid Mamba-Transformer Backbone for Speech Synthesis","Tan Dat Nguyen","Despite the remarkable quality of LLM-based text-to-speech systems, their reliance on autoregressive Transformers leads to quadratic computational complexity, which severely limits practical applications. Linear-time alternatives, notably Mamba, offer a potential remedy; however, they often sacrifice the global context essential for expressive synthesis. In this paper, we propose MamTra, an interleaved Mamba-Transformer framework designed to leverage the advantages of Mamba's efficiency and Transformers' modeling capability. We also introduce novel knowledge transfer strategies to distill insights from a pretrained Transformer into our hybrid architecture, thereby bypassing the prohibitive costs of training from scratch. Systematic experiments identify the optimal hybrid configuration, and demonstrate that MamTra reduces inference VRAM usage by up to 34% without compromising speech fidelity-even trained on only 2% of the original training dataset. Audio samples are available at.","Tan Dat Nguyen(Korea Advanced Institute of Science and Technology); Sangmin Bae(Korea Advanced Institute of Science and Technology); Joon Son Chung(Korea Advanced Institute of Science and Technology); Ji-Hoon Kim(Chung-Ang University)","","","","","","","","","","","","","","","","","","",""
"Oral","788","10:20-10:40","DLLM-TTS: Block Discrete Diffusion Language Model for Text-to-Speech Synthesis","Wasim Madha","Current text-to-speech systems face a trade-off: autoregressive codec language models produce highly intelligible speech but require large-scale models and training data and decode tokens sequentially, while non-autoregressive approaches improve speed at the cost of linguistic accuracy. We present DLLM-TTS, a framework that formulates TTS as conditional block discrete diffusion over X-Codec2 neural audio codec tokens. The model decomposes sequences into blocks and applies masked diffusion within each block while processing blocks sequentially, learning both local acoustic coherence and global text-speech alignment. During inference, parallel token prediction within blocks enables efficient generation with a real-time factor (RTF) of 0.15. A 0.6B-parameter model trained on 20K hours achieves competitive performance on the Seed-TTS-eval benchmark, demonstrating that block discrete diffusion language models enable practical and data-efficient speech synthesis with parallel generation.","Wasim Madha(Smallest.ai); Nityanand Mathur(Smallest.ai); Hamees Sayed(Smallest.ai); Apoorv Singh(Smallest.ai); Sameer Khurana(Smallest.ai); Akshat Mandloi(Smallest.ai); Sudarshan Kamath(Smallest.ai)","","","","","","","","","","","","","","","","","","",""
"Oral","873","10:40-11:00","Bagpiper-TTS: Natural Language Guided Universal Speech Synthesis","Haoran Wang","Classical TTS systems typically rely on rigid input formats and predefined metadata slots, limiting their ability to fulfill flexible user requirements. This paper introduces Bagpiper-TTS, a universal speech synthesis system that deals with diverse natural language user requests. Given a natural language prompt, Bagpiper-TTS first reasons over the user’s intent to derive a rich caption, i.e., a comprehensive textual blueprint encompassing both transcription and nuanced metadata. Subsequently, this caption guides the synthesis of the target speech. Our model inherently supports a broad spectrum of tasks besides classical TTS applications, including multi-talker, intent-to-speech, roleplay synthesis, singing voice synthesis, and more. Experimental results demonstrate that Bagpiper-TTS achieves an 1.7% Word Error Rate (WER) on the Seed-TTS-Eval benchmark and match the performance of dedicated models in both LLM-as-a-judge and human subjective evaluations across multiple application.","Jinchuan Tian(Carnegie Mellon University); Haoran Wang(Carnegie Mellon University); Siddhant Arora(Carnegie Mellon University); Takashi Maekaku(LY Corporation); Keita Goto(LY Corporation); Jin Sakuma(LY Corporation); Yusuke Shinohara(LY Corporation); Chao-Han Huck Yang(NVIDIA Research); Shinji Watanabe(Carnegie Mellon University)","","","","","","","","","","","","","","","","","","",""
"Thursday 1 October 2026 - 09:00-11:00 - Area 8 - Oral 2 - New Training Methods for ASR","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","1195","09:00-09:20","Reducing the Offline-Streaming Gap for Unified ASR Transducer with Consistency Regularization","Andrei Andrusenko","Unification of automatic speech recognition (ASR) systems reduces development and maintenance costs, but training a single model to perform well in both offline and low-latency streaming settings remains challenging. We present a Unified ASR framework for Transducer (RNNT) training that supports both offline and streaming decoding within a single model, using chunk-limited attention with right context and dynamic chunked convolutions. To further close the gap between offline and streaming performance, we introduce an efficient Triton implementation of mode-consistency regularization for RNNT (MCR-RNNT), which encourages agreement across training modes. Experiments show that the proposed approach improves streaming accuracy at low latency while preserving offline performance and scaling to larger model sizes and training datasets. The proposed Unified ASR framework and the English model checkpoint are open-sourced.","Andrei Andrusenko(NVIDIA, Armenia); Vladimir Bataev(NVIDIA, Armenia); Lilit Grigoryan(NVIDIA, Armenia); Nune Tadevosyan(NVIDIA, Armenia); Vitaly Lavrukhin(NVIDIA, USA); Boris Ginsburg(NVIDIA, USA)","","","","","","","","","","","","","","","","","","",""
"Oral","1455","09:20-09:40","BACON: Boundary-Aware Convolution for Streaming Conformer Models","Hainan Xu","We propose Boundary-Aware CONvolution (BACON), a drop-in replacement for causal convolution in streaming sequence tasks that leverage chunk-based Conformers. Streaming Conformers typically pair chunked attention with causal convolution to prevent future information leakage. We show that causal convolution is unnecessarily restrictive: within a chunk, all frames are already available, so the convolution kernel can safely look ahead up to the chunk boundary without violating the streaming constraint. BACON exploits this by splitting the depthwise convolution channels into a causal group and a boundary-aware bidirectional group, yielding a wider effective receptive field than the causal baseline while preserving parameter count. Across single-speaker Automatic Speech Recognition (ASR), multi-speaker ASR, and speech-to-text translation tasks with two model architectures, BACON improves model accuracy while maintaining comparable latency.","Hainan Xu(NVIDIA corporation.); Kunal Dhawan(NVIDIA corporation.); Dongji Gao(NVIDIA corporation.); Jagadeesh Balam(NVIDIA corporation.)","","","","","","","","","","","","","","","","","","",""
"Oral","2132","09:40-10:00","Progressive Alignment Objectives for Aligner-Encoder based ASR","Jaeyoung Lee","Aligner-Encoders are recently proposed seq2seq end-to-end ASR models that replace decoder attention by predicting the u-th token directly from the u-th encoder position, so the encoder must learn the alignment internally without cross-attention or a transducer lattice. In practice, this alignment often forms abruptly in the upper layers, making training sensitive and brittle on long utterances. We propose InterAligner, which adds an intermediate Aligner objective so alignment can form progressively across depth, together with an intermediate CTC loss (InterCTC) to stabilize optimization. On LibriSpeech with a 17-layer Conformer, a final-only Aligner reaches 5.0/7.8 WER (test-clean/other). InterCTC improves to 3.4/6.0, and InterAligner further reduces WER to 3.1/5.6 with the largest gains on long utterances.","Jaeyoung Lee(NTT, Inc.); Masato Mimura(NTT, Inc.); Takafumi Moriya(NTT, Inc.)","","","","","","","","","","","","","","","","","","",""
"Oral","1738","10:00-10:20","From Bilevel to Trilevel: Joint Training for Speech Recognition","Jen-Tzung Chien","This paper presents the practical optimization strategies to extend the bilevel learning into a trilevel setting for speech recognition. This method jointly trains an acoustic model according to supervised, unsupervised, and distilled learning objectives. To make trilevel training feasible in large-scale ASR models, we employ a sequential penalty-based bilevel gradient descent method that collapses the lower two levels into a bilevel subproblem and then integrates it with the upper level. This formulation allows the model to leverage the general structure from unlabeled data, the task-specific alignment from labeled speech, and the knowledge transfer from a teacher network within a single optimization loop. The experiments on LibriSpeech with a FastConformer backbone demonstrate that these strategies yield the consistent improvements over the conventional two-stage pre-training and fine-tuning pipeline, as well as over the prior bilevel optimization methods.","Jen-Tzung Chien(National Yang Ming Chiao Tung University); Yu-Chun Lin(National Yang Ming Chiao Tung University); Xiaodong Cui(IBM T. J. Watson Research Center)","","","","","","","","","","","","","","","","","","",""
"Oral","2149","10:20-10:40","LLM-as-Joiner: Decoupling Alignment from Language Modeling in Label-synchronous ASR","Jaeyoung Lee","We present LLM-as-Joiner, an LLM-based ASR architecture that decouples speech-text alignment from language modeling. A speech encoder first converts an input of T acoustic frames into U token-level speech states, one per output token, following the Aligner-Encoder framework. A pretrained LLM then predicts the transcript from these U states, with speech injected at a chosen LLM layer; only upper LLM layers are adapted via LoRA. Compared to conventional decoder-only speech-as-prefix decoding, the LLM operates on a shorter context (U rather than T + U), reducing memory and compute. On LibriSpeech and multilingual Common Voice, the proposed LLM-as-Joiner outperforms size-matched baselines, and joint training with a lightweight recognizer yields additional gains in the lightweight head, suggesting implicit transfer of linguistic knowledge from the LLM to the speech encoder.","Jaeyoung Lee(NTT, Inc.; Kyoto University); Masato Mimura(NTT, Inc.); Ryo Magoshi(Kyoto University); Tatsuya Kawahara(Kyoto University)","","","","","","","","","","","","","","","","","","",""
