"Session Thursday 1 October 2026 - 09:00-11:00 - Area 1 - Oral 4 - Modeling Articulation Survey Talk","Paper ID Surv-01-1","Time 09:00-09:40","Paper Title Bio-Informed Speech Processing, Modeling, and Generation","Presenting Author Yu Tsao","Abstract Conventional speech technologies rely primarily on acoustic signals, without explicitly accounting for the biological mechanisms underlying human speech production and perception. This survey examines bio-informed speech processing, modeling, and generation by integrating physiological signals with modern machine learning. We investigate how multimodal articulatory dynamics can enable robust motor-control representations and silent-speech interfaces. We further explore how neural markers and individualized hearing profiles can guide perceptual optimization, enhance speech quality, and maximize intelligibility. Grounding computational models in articulatory, muscular, and neuroauditory mechanisms establishes a transformative paradigm for next-generation assistive hearing devices, speech synthesis, and personalized communication systems across diverse speakers, communication environments, clinical needs, and application scenarios.","Authors ","CN tbhead2 bg-c2 ","","","","","","","","","","","","","","","","","",""
"Thursday 1 October 2026 - 09:00-11:00 - Area 12 - Poster 4 - Speech Benchmarks, Evaluation, and Resources","","","","","","","tbhead2 bg-c4","","","","","","","","","","","","","","","","","",""
"Poster","2791","09:00-11:00","DiscoPhon: Benchmarking the Unsupervised Discovery of Phoneme Inventories With Discrete Speech Units","Maxime Poli","We introduce DiscoPhon, a multilingual benchmark for evaluating unsupervised phoneme discovery from discrete speech units. DiscoPhon covers 6 dev and 6 test languages, chosen to span a wide range of phonemic contrasts. Given only 10 hours of speech in a previously unseen language, systems must produce discrete units that are mapped to a predefined phoneme inventory, through either a many-to-one or a one-to-one assignment. The resulting sequences are evaluated for unit quality, recognition and segmentation. We provide four pretrained multilingual HuBERT and SpidR baselines, and show that phonemic information is available enough in current models for derived units to correlate well with phonemes, though with variations across languages.","Maxime Poli(PSL University); Manel Khentout(PSL University); Angelo Ortiz Tandazo(PSL University); Ewan Dunbar(University of Toronto); Emmanuel Chemla(PSL University); Emmanuel Dupoux(PSL University)","","","","","","","","","","","","","","","","","","",""
"Poster","450","09:00-11:00","Tarsila-ASR: A Multi-Domain Test Suite for Benchmarking Brazilian Portuguese Speech Recognition","Sidney Leal","Spontaneous speech recognition remains a key challenge for conversational AI, where disfluencies such as fillers, hesitations, and truncations are common. Although recent Transformer-based ASR systems perform well on read speech, their effectiveness under spontaneous Brazilian Portuguese conditions remains limited, partly due to the lack of diverse benchmarks. In this work, we introduce Tarsila ASR, a new benchmark with more than 70 hours of spontaneous speech aggregated from multiple public datasets to better reflect real world conversational variability. Using this benchmark, we systematically evaluate open source ASR models and improve strong baselines through fine tuning on diverse conversational data, achieving new state of the art (SOTA) performance. Our results highlight the importance of domain specific adaptation and provide publicly available resources to support future research on conversational ASR in Brazilian Portuguese.","Sidney Leal(Venturus - Centro de Inovação Tecnológica; University of São Paulo (USP)); Ariadne Matos(University of São Paulo (USP)); Edresson Casanova(NVIDIA Corporation); Frederico Gonçalves(Venturus - Centro de Inovação Tecnológica); Renato Moraes Silva(University of São Paulo (USP)); Arnaldo Cândido Jr(São Paulo State University (UNESP)); Sandra Aluísio(Venturus - Centro de Inovação Tecnológica)","","","","","","","","","","","","","","","","","","",""
"Poster","83","09:00-11:00","Balalaika: Data-Centric, Prosody-Aware Annotation Pipeline for Russian Speech","Vasiliy Kudryavtsev","We introduce Balalaika, an open-source, data-centric pipeline for processing audio and producing prosody-aware annotations. It combines semantic VAD for context-preserving segmentation, multi-ASR ensembling with ROVER consensus decoding, while retaining word-level timestamps, followed by automatic quality and speaker-purity filtering. The text is further enriched with punctuation restoration, lexical stress and e/yo normalization, and IPA phonemes. Using Balalaika, we build a 5.1k-hour multi-source Russian corpus with rich annotations, and show consistent gains under equalized training budgets for both speech denoising and TTS; ablations confirm complementary benefits of stress and punctuation and improved synthesis with stricter MOS filtering. The dataset is publicly available at https://hf.co/collections/lab260/balalaika-dataset The full version paper is available at https://arxiv.org/abs/2507.13563","Kirill Borodin(Moscow Technical University of Communications and Informatics; BitmanagerAI); Nikita Vasiliev(Moscow Technical University of Communications and Informatics); Vasiliy Kudryavtsev(Moscow Technical University of Communications and Informatics; BitmanagerAI); Maxim Maslov(Moscow Technical University of Communications and Informatics); Mikhail Gorodnichev(Moscow Technical University of Communications and Informatics); Grach Mkrtchian(Moscow Technical University of Communications and Informatics)","","","","","","","","","","","","","","","","","","",""
"Poster","1777","09:00-11:00","Spashta Audio-Bench: Unified ASR and TTS Evaluation Framework across Indian Languages","Bikash Dutta","Evaluation of speech systems for Indian languages remains severely fragmented. Models are benchmarked on disjoint datasets with inconsistent preprocessing and metrics, making reproducibility and fair comparison nearly impossible. We address this with Spashta Audio-Bench, a modular, plug-and-play framework analogous to HuggingFace Evaluate, where any model checkpoint or dataset registers through a standardized interface without modifying the core pipeline. Evaluating ten open-source ASR and TTS models across seven corpora spanning 22 Indian languages and Indian-accented English, it reveals what single-dataset, single-metric benchmarking conceals: parameter scaling does not guarantee cross-language robustness, naturalness and intelligibility diverge in TTS, and domain sensitivity persists across all ASR architectures. Crucially, it introduces TTS-ASR degradation as an objective, reproducible intelligibility measure, jointly evaluating naturalness and intelligibility where prior benchmarks assess at most one. We release it as reusable infrastructure to promote standardized, multi-metric speech evaluation for Indian languages.","Bikash Dutta(Indian Institute of Technology Jodhpur); Siddhant Gahankari(Indian Institute of Technology Jodhpur); Abhinav Kumar(Indian Institute of Technology Jodhpur); Siddarth Modugu(Indian Institute of Technology Jodhpur); Shalini Kapoor(EkStep Foundation); Mayank Vatsa(Indian Institute of Technology Jodhpur); Richa Singh(Indian Institute of Technology Jodhpur)","","","","","","","","","","","","","","","","","","",""
"Poster","728","09:00-11:00","Preference-ASR: A Preference-Aware Test Set for Benchmarking ASR in the Era of Speech LLMs","Nithin Rao Koluguri","Popular ASR test sets adopt inconsistent conventions for numbers, disfluencies, entities, and casing, while standard normalizers erase the format distinctions users care about. Current benchmarks therefore cannot measure whether a model follows user preferences for output style. We introduce Preference-ASR, a test set evaluating ASR systems on their ability to follow natural-language preference instructions across four categories: normalization, entities, disfluencies, and case. Built from seven open-source corpora via a two-stage LLM-assisted pipeline with human verification, it is evaluated with a preference-aware normalizer that selectively skips steps matching the active instruction. Benchmarking four models shows rankings shift across preference types, exposing quality differences traditional evaluation obscures. We publicly release the dataset.","Nithin Rao Koluguri(NVIDIA); Sasha Meister(NVIDIA); Nikolay Karpov(NVIDIA); Piotr Żelasko(NVIDIA); Desh Raj(NVIDIA); Jagadeesh Balam(NVIDIA); Boris Ginsburg(NVIDIA)","","","","","","","","","","","","","","","","","","",""
"Poster","1902","09:00-11:00","Open ASR Leaderboard: Towards Reproducible and Transparent Multilingual and Long-Form Speech Recognition Evaluation","Eric Bezzam","We present the Open ASR Leaderboard, a reproducible benchmarking platform with community contributions from academia and industry. It compares 85+ open-source and proprietary systems across 11 datasets, with English short- and long-form and multilingual short-form tracks. We standardize word error rate (WER) and inverse real-time factor (RTFx) evaluation for consistent accuracy-efficiency comparisons across model architectures and toolkits (e.g., ESPNet, NeMo, SpeechBrain, Transformers). We observe that Conformer-based encoders paired with large language model (LLM)-based decoders achieve the best average WER, while connectionist temporal classification (CTC) and token-and-duration transducer (TDT) decoders offer superior RTFx, making them better suited for long-form and batched processing. All code and dataset loaders are open-sourced to support transparent, extensible evaluation. We present our evaluation methodology to facilitate community-driven benchmarking in ASR and other tasks.","Vaibhav Srivastav(Hugging Face Inc.; OpenAI); Steven Zheng(Hugging Face Inc.); Eric Bezzam(Hugging Face Inc.); Eustache Le Bihan(Hugging Face Inc.); Nithin Rao Koluguri(NVIDIA); Piotr Żelasko(NVIDIA); Somshubra Majumdar(NVIDIA); Adel Moumen(University of Cambridge); Sanchit Gandhi(Mistral AI)","","","","","","","","","","","","","","","","","","",""
"Poster","337","09:00-11:00","HALAS: A Human-Annotated Dataset of Hallucinations of Modern ASR Systems","Mateusz Barański","End-to-end Automatic Speech Recognition (ASR) systems hallucinate on natural speech, yet existing mitigation methods are typically evaluated on non-speech or artificially corrupted audio. We introduce HALAS, the first human-annotated dataset of naturally occurring hallucinations from seven state-of-the-art ASR models on real unprocessed earnings call recordings. HALAS provides span-level labels, enabling analysis of hallucination patterns and their severity. Our analysis reveals strong cross-model vocabulary overlap and confirms that hallucinations also occur for almost correctly transcribed speech (characterized by a low Word Error Rate). The proposed benchmark with HALAS shows that the character and semantic-level metrics used as a proxy for hallucination detection reach 81% ROC-AUC, while state-of-the-art detection methods achieve an F1 score of only 53.1%. As such, HALAS establishes the first rigorous non-artificial benchmark for the detection and mitigation of ASR hallucinations.","Mateusz Barański(AGH University of Krakow); Jan Jasiński(AGH University of Krakow); Julitta Bartolewska(AGH University of Krakow); Marcin Witkowski(AGH University of Krakow); Konrad Kowalczyk(AGH University of Krakow)","","","","","","","","","","","","","","","","","","",""
"Poster","3390","09:00-11:00","CSER: Semantic Evaluation of LLM Auto-Repair for Code-Switching ASR","Tien Dat Bui","Code-switching presents significant challenges for ASR systems in voice assistants. While traditional lexical metrics like WER, CER, and PIER measure transcription accuracy, they fail to capture semantic preservation or downstream intent quality in ASR-LLM pipelines. We introduce Code-Switching Semantic Error Rate (CSER), a metric designed to quantify the semantic impact of specific errors—such as language misidentification and minority-language substitution—while evaluating the efficacy of LLM-based auto-repair in recovering intent. Alongside CSER, we present an end-to-end evaluation framework and a multi-condition Vietnamese-English code-switching benchmark. Our experiments across commercial and in-house systems demonstrate that lexical and semantic metrics provide complementary insights, proving that both perspectives are essential for ensuring robust intent preservation at the pipeline level.","Tien Dat Bui(Viettel Group); Duy Le-Tuan Nguyen(Viettel Group); Nhat Minh Le(Viettel Group); Van Hai Do(Thuyloi University)","","","","","","","","","","","","","","","","","","",""
"Thursday 1 October 2026 - 09:00-11:00 - Area 14 - 2 - Special Session - Post-Training of Speech Foundation Models","","","","","","","tbhead2 bg-c5","","","","","","","","","","","","","","","","","",""
"Special Session","908","09:00-11:00","Supervised Post-training of Speech Foundation Models for Robust Adaptation in Speech Deepfake Detection","Zihan Pan","Large speech foundation models have shown strong potential for speech deepfake detection, but direct fine-tuning is limited by a mismatch between self-supervised pre-training objectives and spoof-specific artifacts. To address this, we propose a mix-frame post-training strategy to create localized spoof-oriented perturbations and use frame-level supervision to encourage the SSL model to learn local inconsistencies that are critical for robust spoof detection. On ASVspoof5, we achieve state-of-the-art EER 4.50% for a single model without data augmentation. On ASVspoof2021 LA/DF, it further achieves only 0.16% absolute EER gap between LA and DF, indicating strong and balanced robustness across distinct distortion conditions. These results show that supervised post-training provides an effective and practical way to adapt speech foundation models for robust deepfake detection.","Zihan Pan(A*STAR); Sailor Hardik(A*STAR); Jinyang Wu(A*STAR)","","","","","","","","","","","","","","","","","","",""
"Special Session","2542","09:00-11:00","Learning task-specific subspaces via interventional post-training of speech foundation models","Jack Cox","Speech foundation models, pre-trained on large corpora of unlabelled speech data, produce general-purpose representations which are useful across tasks. However, these representations encode information about salient speech variables in a distributed manner, while downstream speech tasks rely on only some of this variability. In this work, we propose a post-training refinement approach using interventional contrastive learning. By leveraging an interventional dataset and multi-part contrastive loss, we learn a transformation from the entangled representation space of speech foundation models into separate content and speaker subspaces. We evaluate the learnt representations on speaker verification and keyword spotting tasks, showing improved out-of-domain speaker verification performance and evidence that speaker and content information are separated across the learned subspaces.","Jack Cox(University of Sheffield); Jon P Barker(University of Sheffield)","","","","","","","","","","","","","","","","","","",""
"Special Session","3350","09:00-11:00","Learning Multiple Utterance-Level Attribute Representations with a Unified Speech Encoder","Maryem Bouziane","Speech foundation models trained with self-supervised learning produce generic speech representations that support a wide range of speech processing tasks. When further adapted with supervised learning, these models can achieve strong performance on specific downstream tasks. Recent post-training approaches, such as SAMU-XLSR and SONAR, align speech representations with utterance-level semantic representations, enabling effective multimodal (speech-text) and multilingual applications. While speech foundation models typically learn contextual embeddings at the acoustic frame level, these methods learn representations at the utterance level. In this work, we extend this paradigm to arbitrary utterance-level attributes and propose a unified post-training framework that enables a single speech foundation model to generate multiple types of utterance-level representations. We demonstrate the effectiveness of this approach by jointly learning semantic and speaker representations and evaluating them on multilingual speech retrieval and speaker recognition tasks.","Maryem Bouziane(LIA - Avignon Université); Salima Mdhaffar(LIA - Avignon Université); Yannick Estève(LIA - Avignon Université)","","","","","","","","","","","","","","","","","","",""
"Special Session","2466","09:00-11:00","PolyBench: A Benchmark for Compositional Reasoning in Polyphonic Audio","Yang Xiao","Large Audio Language Models (LALMs) are increasingly capable of reasoning over audio. However, existing benchmarks provide limited coverage of reasoning in polyphonic audio, where multiple sound events co-occur and induce compositional structure. In this work, we introduce PolyBench, a benchmark designed to evaluate compositional reasoning in polyphonic audio. PolyBench comprises five evaluation subsets covering counting, classification, detection, concurrency, and duration estimation, requiring reasoning over multiple concurrent events and their relations. Evaluation of state-of-the-art LALMs reveals consistent performance degradation in polyphonic audio, indicating a fundamental bottleneck in current LALMs.","Yuanjian Chen(Harbin University of Science and Technology); Yang Xiao(The University of Melbourne); Han Yin(KAIST); Xubo Liu(University of Surrey); Jinjie Huang(Harbin University of Science and Technology); Ting Dang(The University of Melbourne)","","","","","","","","","","","","","","","","","","",""
"Special Session","256","09:00-11:00","Step-Audio-R1: Why Audio LLMs Fail at Reasoning — The Trap of Textual Surrogates","Xiangyu Zhang","Audio language models often perform worse when prompted to reason, unlike text and vision models. We attribute this failure to textual surrogate reasoning: models deliberate over transcript-like abstractions instead of acoustic evidence. We introduce Step-Audio-R1 and Modality-Grounded Reasoning Distillation (MGRD), an iterative framework that uses self-distillation and multimodal reinforcement learning to shift reasoning toward acoustic properties. Across speech, environmental-sound, and music benchmarks, Step-Audio-R1 outperforms Gemini 2.5 Pro and performs comparably to Gemini 3 Pro. Ablations show that acoustically grounded reasoning reverses the usual degradation with longer deliberation. These results demonstrate that test-time reasoning can improve audio intelligence when reasoning chains are anchored to the input modality, providing a path toward multimodal systems that reason across sensory domains.","Yuxin Zhang(Shanghai Jiao Tong Univ.; StepFun); Daijiao Liu(UNSW; StepFun); Haoyang Zhang(NTU; StepFun); Xiangyu Zhang(UNSW; StepFun); Yuxin Li(NTU; StepFun); Fei Tian(StepFun); Yayue Deng(StepFun); Donghang Wu(NTU; StepFun); Jun Chen(StepFun); Liang Zhao(StepFun); Chengyuan Yao(StepFun); Gaolei Li(Shanghai Jiao Tong Univ.); Quanhai Zhang(Shanghai Jiao Tong Univ.); Qiquan Zhang(UNSW); Hexin Liu(NTU); Eng Siong Chng(NTU); Xuerui Yang(StepFun); Xiangyu Zhang(StepFun); Daxin Jiang(StepFun); Gang Yu(StepFun)","","","","","","","","","","","","","","","","","","",""
"Special Session","1111","09:00-11:00","Improving Text-to-Audio Instruction Following via Fine-Grained Feedback from Audio-Aware Large Language Models","Chun-Yi Kuan","Recent text-to-audio models generate high-quality audio, but often fail to follow instructions involving multiple sound events and temporal order. This gap arises because existing evaluation and training signals mainly emphasize global similarity or perceptual quality, with limited supervision on instruction-level correctness. We propose an instruction-level framework that uses audio-aware large language models (ALLMs) as fine-grained judges to verify target event presence and temporal relations in generated audio. After validating ALLM judgments on benchmarks and through human verification, we use their feedback to construct preference pairs for direct preference optimization. We further introduce S3Bench, a narrative benchmark for evaluating multi-event temporal instruction following. Experiments show that our method improves event completeness, temporal ordering, and joint instruction-following accuracy across existing benchmarks and S3Bench, while maintaining audio quality.","Chun-Yi Kuan(National Taiwan University; Amazon); Siwon Kim(Amazon); Byeonggeun Kim(Amazon); Suyoun Kim(Amazon); Bo-Ru Lu(Amazon); Qingming Tang(Amazon); Ankur Gandhe(Amazon); Hung-yi Lee(National Taiwan University); Chieh-Chi Kao(Amazon); Chao Wang(Amazon)","","","","","","","","","","","","","","","","","","",""
"Special Session","645","09:00-11:00","CAAD: Contrastive Audio-Aware Distillation for Efficient Speech Language Models","Chun Wei Chen","Speech Language Models achieve reasoning capabilities, but are often hindered by massive parameter counts and a tendency to prioritize linguistic priors over acoustic features. While contrastive decoding enhances grounding by contrasting audio-aware and text-only logits, it increases inference latency. We propose Contrastive Audio-Aware Distillation (CAAD), a framework that internalizes the teacher's contrastive reasoning into the student model's weights. To overcome the high computational training overhead in the dual-path token-by-token contrastive distillation process, we introduce a synchronized teacher-forcing strategy. Anchored by unified Pseudo-Ground Truths, this mechanism enables simultaneous full-sequence generation of the teacher's contrastive distributions, allowing student to distill the audio-aware signal efficiently. Overall, CAAD yields a ~8% relative gain over standard knowledge distillation on Dynamic-SUPERB and successfully reduces linguistic bias in MCR-BENCH.","Chun Wei Chen(National Taiwan University); Tzu-Quan Lin(National Taiwan University); Ke-Han Lu(National Taiwan University); Wei-Ping Huang(National Taiwan University); Hung-yi Lee(National Taiwan University)","","","","","","","","","","","","","","","","","","",""
"Special Session","612","09:00-11:00","Distilling LLM Semantic Priors into Encoder-Only Multi-Talker ASR with Talker-Count Routing","Hao Shi","Large language models (LLMs) provide strong semantic priors that can improve multi-talker automatic speech recognition (MT-ASR), but using an LLM as an autoregressive decoder is computationally expensive and remains fragile under heavy overlap. In this paper, we propose an encoder-only MT-ASR framework that adapts an LLM to multi-talker conditioning and distills its semantic guidance into the encoder during training, while retaining fast CTC-style decoding at inference. Our model employs a post-encoder separator with serialized CTC to produce talker-ordered transcripts, and leverages an adapted LLM-based SOT objective as a multi-talker-aware teacher signal to explicitly regularize mixed-speech representations. To further support variable numbers of talkers, we introduce a Talker-Count Head that predicts the talker count and dynamically selects the appropriate decoding branch. Experiments on LibriMix show that the proposed encoder-only model achieves comparable performance to LLM-based systems in the two-talker condition, while delivering significant improvements in the three-talker condition with significant small RTF.","Hao Shi(SB Intuitions); Yusuke Fujita(SB Intuitions); Roman Koshkin(SB Intuitions); Mengjie Zhao(SB Intuitions); Yuan Gao(SB Intuitions); Lianbo Liu(SB Intuitions); Yui Sudo(SB Intuitions)","","","","","","","","","","","","","","","","","","",""
"Special Session","866","09:00-11:00","TASU2: Controllable CTC Simulation for Alignment and Low-Resource Adaptation of Speech LLMs","Jing Peng","Speech LLM post-training increasingly relies on efficient cross-modal alignment and robust low-resource adaptation, yet collecting large-scale audio-text pairs remains costly. Text-only alignment methods such as TASU reduce this burden by simulating CTC posteriors from transcripts, but they provide limited control over uncertainty and error rate, making curriculum design largely heuristic. We propose TASU2, a controllable CTC simulation framework that simulates CTC posterior distributions under a specified WER range, producing text-derived supervision that better matches the acoustic decoding interface. This enables principled post-training curricula that smoothly vary supervision difficulty without TTS. Across multiple source-to-target adaptation settings, TASU2 improves in-domain and out-of-domain recognition over TASU, and consistently outperforms strong baselines including text-only fine-tuning and TTS-based augmentation, while mitigating source-domain performance degradation.","Jing Peng(Shanghai Jiaotong University); Chenghao Wang(AISpeech); Yi Yang(Shanghai Jiaotong University); Lirong Qian(Shanghai Jiaotong University); Junjie Li(Shanghai Jiaotong University); Yu Xi(Shanghai Jiaotong University); Shuai Wang(Nanjing University, China); Kai Yu(Shanghai Jiaotong University)","","","","","","","","","","","","","","","","","","",""
"Special Session","2099","09:00-11:00","Adapting Text LLMs to Speech via Multimodal Depth Up-Scaling","Kazuki Yano","Adapting pre-trained text Large Language Models (LLMs) into Speech Language Models (Speech LMs) via continual pre-training on speech data is promising, but often degrades the original text capabilities. We propose Multimodal Depth Up-scaling, an extension of an emerging strategy in continual LLM pre-training, where new transformer layers are inserted into a frozen text LLM and only the added layers are trained on speech data. Experiments with SmolLM2-360M and SmolLM2-1.7B on 48k hours of English Automatic Speech Recognition (ASR) data show that depth up-scaling achieves ASR comparable to full fine-tuning while causing far less text degradation than both full fine-tuning and Low-Rank Adaptation (LoRA). We further show that incorporating E-Branchformer, an architecture designed for speech recognition, as the inserted layers achieves ASR that matches or surpasses full fine-tuning on the larger model while reducing text degradation by over 75% with 60% fewer trainable parameters.","Kazuki Yano(Tohoku University); Jun Suzuki(Tohoku University); Shinji Watanabe(Tohoku University; Carnegie Mellon University)","","","","","","","","","","","","","","","","","","",""
"Special Session","2066","09:00-11:00","Localizing and Editing Knowledge in Large Audio-Language Models","Jiaheng Dong","Large Audio-Language Models (LALMs) have shown strong performance in speech understanding, making speech a natural interface for accessing factual information. Yet they are trained on static corpora and may encode incorrect facts. Existing model editing methods localize and update facts in textonly LLMs, but do not account for continuous speech representations, or where knowledge is stored across audio encoder or LLM backbone in LALMs. We construct the first audio benchmark for knowledge localization and editing in LALMs and propose a speech-driven locate-then-edit framework. First, we use speech-aware causal tracing to localize layers that support factual retrieval and then apply editing at identified sites. Experiments show that factual knowledge is jointly encoded in layers from audio encoder and language backbone, and that audio editing yield more effective updates than text editing or fine-tuning, enabling fine-grained knowledge control in speech AI systems.","Sung Kyun Chung(The University of Melbourne); Jiaheng Dong(The University of Melbourne); Qiuchi Hu(The University of Melbourne); Jinuo Sun(The University of Melbourne); Gongping Huang(Wuhan University); Hong Jia(University of Auckland); Ting Dang(The University of Melbourne)","","","","","","","","","","","","","","","","","","",""
"Special Session","745","09:00-11:00","Towards Fine-Grained Temporal Perception: Post-Training Large Audio-Language Models with Audio-Side Time Prompt","Yanfeng Shi","Large Audio-Language Models (LALMs) enable general audio understanding and demonstrate remarkable performance across various audio tasks. However, these models still face challenges in temporal perception (e.g., inferring event onset and offset), leading to limited utility in fine-grained scenarios. To address this issue, we propose Audio-Side Time Prompt and leverage Reinforcement Learning (RL) to develop the TimePro-RL framework for fine-grained temporal perception. Specifically, we encode timestamps as embeddings and interleave them within the audio feature sequence as temporal coordinates to prompt the model. Furthermore, we introduce RL following Supervised Fine-Tuning (SFT) to directly optimize temporal alignment performance. Experiments demonstrate that TimePro-RL achieves significant performance gains across a range of audio temporal tasks, such as audio grounding, sound event detection, and dense audio captioning, validating its robust effectiveness.","Yanfeng Shi(University of Science and Technology of China); Pengfei Cai(University of Science and Technology of China); Jun Liu(University of Science and Technology of China); Qing Gu(University of Science and Technology of China); Nan Jiang(University of Science and Technology of China); Lirong Dai(University of Science and Technology of China); Ian Mcloughlin(Singapore Institute of Technology); Yan Song(University of Science and Technology of China)","","","","","","","","","","","","","","","","","","",""
"Special Session","3071","09:00-11:00","Fast Speech Foundation Model Distillation Using Interleaved Stacking","Eungbeom Kim","Distilling a large speech foundation model (SFM) into an efficient student model has been successfully applied to low-resource environments. Although distillation reduces inference latency, it requires an additional student model training. However, the training efficiency of SFM distillation remains underexplored. In this work, we explore training acceleration of SFM distillation to speed up model deployment. We examine the potential of stacking, in which the model depth is progressively increased through training until the target model depth is reached. While existing stacking methods improve training speed, they suffer from performance degradation. To handle this limitation, we propose interleaved stacking, a novel stacking method that consistently preserves layer position throughout the stacking process. This property is particularly critical in SFMs, in which each layer encodes distinct layer-specific knowledge. We validate the effectiveness of the proposed method on SUPERB.","Eungbeom Kim(IPAI); Kyogu Lee(IPAI; AIIS; Seoul National University)","","","","","","","","","","","","","","","","","","",""
"Thursday 1 October 2026 - 09:00-11:00 - Show And Tell 4 - Speech Recognition, Enhancement and Real-Time Systems","","","","","","","tbhead2 bg-c6","","","","","","","","","","","","","","","","","",""
"Show and tell","3584","09:00-11:00","A light weight Continuous Speaker Verification System for Real time Monitoring","Harish Rajamani","Continuous verification of customer identity during telephone interactions is essential to prevent unauthorized access to personal information in medical insurance applications and banking scenarios. We propose a real-time speaker verification system that continuously monitors customer's speech and compares it with an enrolled voice-print to detect speaker changes during an active call. Upon mismatch, the system generates alerts on the agent interface to prevent disclosure of sensitive information. The proposed method uses a two stage architecture with a ReDimNet-B1 backbone and a projection network trained with triplet sampling for robust speaker embedding extraction. Cross-lingual, noise, and reverberation-based data augmentation techniques are used to improve robustness. The system operates in real time with RTF 0.05 and a low computational footprint of 318M MACs. The model achieves an Equal Error Rate (EER) of 2.08% on TidyVoice evaluation dataset, demonstrating strong robustness.","Nikhil Keetha(Meeami Technologies); Hima Jyothi R(Meeami Technologies); Nivedita Chennupati(Meeami Technologies); Balaji Padmanaban(Meeami Technologies); Harish Rajamani(Meeami Technologies); Naveen Ambati(Meeami Technologies)","","","","","","","","","","","","","","","","","","",""
"Show and tell","3588","09:00-11:00","WaveNorm: A Low-Complexity Time-Domain Neural Adaptive Gain Control for Real-Time Speech Applications","Harish Rajamani","We present WaveNorm AGC, a lightweight, low-latency neural Adaptive Gain Control(AGC) system for real-time speech normalization on edge devices. Operating in the time domain, it learns a content-aware, level-invariant gain mapping directly from raw waveforms. Unlike conventional rule-based AGC, it avoids fixed control parameters and hand-crafted envelope tracking, providing stable and responsive gain adjustment. WaveNorm AGC provides robust performance across a wide dynamic range upto -70 dB maintaining loudness compliance with ITU-T P.56 and P.79 standards under noisy conditions, while achieving ~6 dB noise reduction. The model is speaker-independent and highly efficient (49 M MACs, 55 KB of memory), making it suitable for real-time deployment on resource-constrained devices.","Deepika Ijjada(Meeami Technologies); Charan Kumar Reddy B(Meeami Technologies); Ashwini Hanaganti(Meeami Technologies); Priyanka Devrao Jadhav(Meeami Technologies); Varsha Uppalanchi(Meeami Technologies); Nivedita Chennupati(Meeami Technologies); Karunakar Reddy Pucchakayala(Meeami Technologies); Balaji Padmanaban(Meeami Technologies); Harish Rajamani(Meeami Technologies); Naveen Ambati(Meeami Technologies)","","","","","","","","","","","","","","","","","","",""
"Show and tell","3602","09:00-11:00","Argmax Pro: Frontier-level Real-time Speech-to-text with Speakers and Custom Vocabulary on Mobile Devices","Atila Orhon","We introduce Argmax Pro, a unified real-time inference system that orchestrates three state-of-the-art billion-scale transformer models for speech-to-text with speaker diarization and custom vocabulary. The system is optimized to run efficiently on a wide range of mobile devices across iOS and Android without resource contention with other apps and with minimal impact to battery life and thermals. The goal of this system is to offer a peer alternative to cloud-based systems for feature-rich speech recognition with frontier-level accuracy. To achieve this, we built Argmax Pro on top of concurrent research in context biasing and streaming speaker diarization.","Dylan Angus(Argmax); Chen Cen(Argmax); Berkin Durmus(Argmax); Arda Ibis(Argmax); Brian Keene(Argmax); Andrey Leonov(Argmax); Blaise Munyampirwa(Argmax); Zach Nagengast(Argmax); Arda Okan(Argmax); Atila Orhon(Argmax); Eduardo Pacheco(Argmax)","","","","","","","","","","","","","","","","","","",""
"Show and tell","3610","09:00-11:00","A Human-in-the-Loop Multi-Agent Companion for Real-Time Entity Extraction and SLU-Driven ASR Error Correction","Shiva Shankar Arumugam","Contact-center agents handle thousands of entity-rich voice interactions per day, where a misrecognised customer name, account identifier, or domain term cascades into wrong CRM entries and additional manual rework. We demonstrate MACE (Multi-Agent Companion Environment), a closed-loop architecture in which a real-time companion - an AI overlay that runs alongside the live agent and surfaces extracted named entities as proactive suggestions for in-place confirmation - routes every UI correction back into the ASR stack as either a contextual-biasing entry B or, once recurrent, a post-ASR substitution rule R, with no acoustic retraining and no a-priori entity list. On the English ContextASR-Bench benchmark with Whisper-large-v3, the loop reduces NE-WER by 17.1% and EditRate by 18.6% over a no-biasing baseline, closing 23.6% of the gap to an oracle that is given the entity list in advance.","Shiva Shankar Arumugam(Observe.ai); Ameyaditya Achar J(Observe.ai); Aashraya Sachdeva(Observe.ai)","","","","","","","","","","","","","","","","","","",""
"Thursday 1 October 2026 - 11:30-12:30 - Keynote speaker - Prof  Junichi Yamagishi","","","","","","","tbhead2 bg-c1","","","","","","","","","","","","","","","","","",""
"Keynote","","11:30-12:30","Countermeasures Against Misuse of Speech Generative AI","","","","","","","","","","","","","","","","","","","","","",""
"Thursday 1 October 2026 - 14:00-16:00 - Area 2 - Oral 4 - Gender- and Age-Related Speech
Characteristics","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
